addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
新北市永和區中正路145號,24.998332,121.516218,新北市永和區潭安里中正路145號,808,玉山商業銀行,8080521,玉山商業銀行永和分行,02-29491313,何培真,2001-08-17,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080521"
臺北市中正區光復里武昌街一段77號,25.044271,121.509641,台北市中正區光復里武昌街一段77號,808,玉山商業銀行,8080532,玉山商業銀行城中分行,02-23891313,陳美女,2001-12-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080532"
新北市五股區五權路1號,25.064637,121.447989,新北市五股區興珍村五權路1號,808,玉山商業銀行,8080543,玉山商業銀行五股分行,02-22901313,劉岳平,2002-03-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080543"
新北市新店區江陵里民權路69號,24.982839,121.538907,新北市新店區江陵里民權路69號,808,玉山商業銀行,8080554,玉山商業銀行新店分行,02-29161313,陳建宏,2003-01-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080554"
台北市信義區四維里永吉路356號,25.045283,121.576923,台北市信義區四維里永吉路356號,808,玉山商業銀行,8080565,玉山商業銀行松山分行,02-37651313,尤郁芬,2003-06-18,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080565"
台北市大安區和平東路一段216號,25.026147,121.531882,台北市大安區龍坡里和平東路一段216號,808,玉山商業銀行,8080576,玉山商業銀行和平分行,02-23621313,陳文彬,2004-01-13,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080576"
新北市板橋區深丘里中山路一段182、182之1、182之2、182之3、182之5號,,,,808,玉山商業銀行,8080587,玉山商業銀行新板特區分行,02-22561313,王麗雯,2004-06-09,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080587"
台北市中山區民權西路48號,25.062632,121.520726,台北市中山區集英里民權西路48號,808,玉山商業銀行,8080598,玉山商業銀行民權分行,02-25681313,王科証,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080598"
新北市泰山區明志路二段53號,25.052725,121.429279,新北市泰山區義仁村明志路二段53號,808,玉山商業銀行,8080602,玉山商業銀行泰山分行,02-22971313,廖年固,2006-07-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080602"
桃園縣蘆竹鄉錦中村中正路346號,25.04971,121.29107,桃園市蘆竹區錦中里中正路346號,808,玉山商業銀行,8080613,玉山商業銀行南崁分行,03-3521313,呂木成,1996-12-19,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080613"
高雄市苓雅區正文里大順三路88號,22.631777,120.32512,高雄市苓雅區正文里大順三路88號,808,玉山商業銀行,8080624,玉山商業銀行大順分行,07-7271313,柯正霖,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080624"
