county	county_id	town	town_id	village	village_id	villcode	code2	code1	codebase
臺北市	63000	南港區	63000090	鴻福里	13	A6309-013-00	A6309-28	A6309-28-001	A6309-0329-00
臺北市	63000	信義區	63000020	五全里	13	A6302-013-00	A6302-08	A6302-08-008	A6302-0108-00
臺北市	63000	信義區	63000020	新仁里	5	A6302-005-00	A6302-09	A6302-09-001	A6302-0110-00
臺北市	63000	中正區	63000050	光復里	23	A6305-023-00	A6305-01	A6305-01-010	A6305-0054-00
臺北市	63000	中正區	63000050	黎明里	24	A6305-024-00	A6305-02	A6305-02-007	A6305-0046-00
臺北市	63000	大安區	63000030	光武里	10	A6303-010-00	A6303-01	A6303-01-003	A6303-0006-00
臺北市	63000	中正區	63000050	梅花里	25	A6305-025-00	A6305-03	A6305-03-008	A6305-0050-00
臺北市	63000	中正區	63000050	黎明里	24	A6305-024-00	A6305-02	A6305-02-008	A6305-0059-00
臺北市	63000	中正區	63000050	光復里	23	A6305-023-00	A6305-01	A6305-01-009	A6305-0053-00
臺北市	63000	大安區	63000030	光武里	10	A6303-010-00	A6303-01	A6303-01-002	A6303-0004-00
臺北市	63000	信義區	63000020	松光里	23	A6302-023-00	A6302-18	A6302-18-005	A6302-0217-00
臺北市	63000	中正區	63000050	幸福里	26	A6305-026-00	A6305-05	A6305-05-001	A6305-0088-00
臺北市	63000	信義區	63000020	六藝里	10	A6302-010-00	A6302-15	A6302-15-007	A6302-0177-00
臺北市	63000	中正區	63000050	黎明里	24	A6305-024-00	A6305-02	A6305-02-009	A6305-0090-00
臺北市	63000	萬華區	63000070	西門里	3	A6307-003-00	A6307-04	A6307-04-009	A6307-0076-00
臺北市	63000	中正區	63000050	黎明里	24	A6305-024-00	A6305-07	A6305-07-004	A6305-0121-00
臺北市	63000	中正區	63000050	幸福里	26	A6305-026-00	A6305-06	A6305-06-004	A6305-0087-00
臺北市	63000	中正區	63000050	幸福里	26	A6305-026-00	A6305-04	A6305-04-005	A6305-0085-00
臺北市	63000	大安區	63000030	昌隆里	8	A6303-008-00	A6303-03	A6303-03-005	A6303-0064-00
臺北市	63000	信義區	63000020	新仁里	5	A6302-005-00	A6302-09	A6302-09-007	A6302-0184-00
臺北市	63000	大安區	63000030	昌隆里	8	A6303-008-00	A6303-08	A6303-08-002	A6303-0065-00
臺北市	63000	信義區	63000020	新仁里	5	A6302-005-00	A6302-09	A6302-09-009	A6302-0193-00
臺北市	63000	大安區	63000030	誠安里	9	A6303-009-00	A6303-05	A6303-05-008	A6303-0067-00
臺北市	63000	南港區	63000090	成福里	11	A6309-011-00	A6309-29	A6309-29-004	A6309-0363-00
臺北市	63000	信義區	63000020	長春里	15	A6302-015-00	A6302-16	A6302-16-007	A6302-0190-00
臺北市	63000	大安區	63000030	光武里	10	A6303-010-00	A6303-04	A6303-04-005	A6303-0076-00
臺北市	63000	萬華區	63000070	新起里	4	A6307-004-00	A6307-09	A6307-09-005	A6307-0108-00
臺北市	63000	中正區	63000050	幸市里	27	A6305-027-00	A6305-05	A6305-05-007	A6305-0127-00
臺北市	63000	萬華區	63000070	新起里	4	A6307-004-00	A6307-08	A6307-08-002	A6307-0107-00
臺北市	63000	中正區	63000050	建國里	22	A6305-022-00	A6305-07	A6305-07-009	A6305-0144-00
臺北市	63000	信義區	63000020	富台里	19	A6302-019-00	A6302-20	A6302-20-008	A6302-0273-00
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-18	A6303-18-006	A6303-0173-00
臺北市	63000	大安區	63000030	民輝里	7	A6303-007-00	A6303-12	A6303-12-003	A6303-0139-00
臺北市	63000	大安區	63000030	仁愛里	5	A6303-005-00	A6303-17	A6303-17-001	A6303-0143-00
