bank_code,bank_name,branch_code,branch_name,addr,tel_no,manager,establish_date,extended_open_time,url
807,永豐商業銀行,8071011,永豐商業銀行忠孝東路分行,台北市大安區忠孝東路4段48號,02-27717011,鄧愛華,1966-03-16,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071011"
807,永豐商業銀行,8071033,永豐商業銀行建成分行,台北市大同區長安西路43號,02-25553261,呂忠雄,1960-04-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071033"
807,永豐商業銀行,8071044,永豐商業銀行西門簡易型分行,台北市萬華區成都路75、77號,02-23818255,高秋榮,2003-10-14,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071044"
807,永豐商業銀行,8071055,永豐商業銀行萬華分行,台北市萬華區康定路280-288號,02-23023485,黃偉銘,1952-03-31,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071055"
807,永豐商業銀行,8071066,永豐商業銀行興隆分行,台北市文山區興隆路2段49、51、53、55、57及59號,02-29339831,陳靜恕,1961-05-15,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071066"
807,永豐商業銀行,8071077,永豐商業銀行南門分行,台北市中正區南昌路1段110號,02-23917565,邱義雄,1955-02-14,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071077"
807,永豐商業銀行,8071088,永豐商業銀行長安分行,台北市中山區松江路39、41、43、43之1及43之2號,02-25165777,洪旗能,1964-01-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071088"
807,永豐商業銀行,8071099,永豐商業銀行延平分行,台北市大同區民生西路286號,02-25580091,楊慶隆,1965-05-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071099"
807,永豐商業銀行,8071103,永豐商業銀行北投分行,台北市北投區光明路166之4、166之5、166之6號,02-28912127,郭凱維,1967-03-11,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071103"
807,永豐商業銀行,8071114,永豐商業銀行松山分行,台北市松山區八德路4段680號,02-27611331,林登祿,1970-02-16,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071114"
807,永豐商業銀行,8071125,永豐商業銀行中山分行,台北市中山區中山北路2段79號,02-25717221,賴家琳,1970-07-03,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071125"
807,永豐商業銀行,8071136,永豐商業銀行士林分行,台北市士林區承德路4段85號,02-28868877,呂榮俊,1972-10-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071136"
807,永豐商業銀行,8071147,永豐商業銀行三和分行,新北市三重區重新路2段18號,02-29728787,林煌明,1962-12-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071147"
807,永豐商業銀行,8071158,永豐商業銀行雙園分行,台北市萬華區東園街58、58之1號,02-23038222,林明功,1974-09-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071158"
807,永豐商業銀行,8071169,永豐商業銀行永和分行,新北市永和區永和路2段47、49號,02-29274000,何佳洛,1966-02-07,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071169"
807,永豐商業銀行,8071170,永豐商業銀行板橋分行,新北市板橋區府中路23號,02-29671112,陳資銘,1963-05-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071170"
807,永豐商業銀行,8071181,永豐商業銀行基隆分行,基隆市中正區義一路2號,02-24231161,陳光仁,1949-08-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071181"
807,永豐商業銀行,8071192,永豐商業銀行羅東分行,宜蘭縣羅東鎮中正路203、205號,039-545421,魏毅賢,1949-08-12,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071192"
807,永豐商業銀行,8071206,永豐商業銀行宜蘭分行,宜蘭縣宜蘭市中山路3段33、35號,039-324511,涂士盛,1949-08-11,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071206"
807,永豐商業銀行,8071217,永豐商業銀行營業部,台北市中山區南京東路3段36號,02-25063333#558,江炎榮,1948-05-04,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071217"
807,永豐商業銀行,8071228,永豐商業銀行景美分行,台北市文山區車前路12號,02-29328540,王興國,1975-06-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071228"
807,永豐商業銀行,8071239,永豐商業銀行新莊分行,新北市新莊區中正路341號,02-22016123,葉時魁,1978-01-27,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071239"
807,永豐商業銀行,8071251,永豐商業銀行汐止分行,新北市汐止區大同路2段508及510號,02-26421561,鄭世青,1978-12-18,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071251"
807,永豐商業銀行,8071262,永豐商業銀行城中分行,台北市中正區博愛路17號,02-23817777,游俊鴻,1980-10-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071262"
807,永豐商業銀行,8071273,永豐商業銀行光復分行,新北市中和區連城路246之2、246之3及246之4號,02-82275058,張美蘭,1980-10-07,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071273"
807,永豐商業銀行,8071284,永豐商業銀行正義分行,新北市三重區正義北路343、345、347號,02-29811335,葉健次,1981-12-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071284"
807,永豐商業銀行,8071295,永豐商業銀行中和分行,新北市永和區中正路51、53、55號,02-86689393,吳進欽,1981-12-14,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071295"
807,永豐商業銀行,8071310,永豐商業銀行士東分行,台北市士林區中山北路6段421號,02-28727155,鄭淑霞,1982-09-07,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071310"
807,永豐商業銀行,8071321,永豐商業銀行中港分行,新北市新莊區中港路399、401、403、405、407號,02-29923123,林靖凱,1982-11-16,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071321"
