addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
台南市佳里區延平路288號,23.160443,120.178569,台南市佳里區忠仁里延平路288號,812,台新國際商業銀行,8120931,台新國際商業銀行佳里分行,06-7226655,康志遠,2002-02-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120931"
新北市板橋區文化路二段182巷3弄79號,25.029391,121.472647,新北市板橋區忠翠里文化路二段182巷3弄79號,812,台新國際商業銀行,8120942,台新國際商業銀行江翠分行,02-82529999,曹宏榮,2002-02-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120942"
台北市信義區忠孝東路五段408號,25.04071,121.575038,台北市信義區廣居里忠孝東路五段408號,812,台新國際商業銀行,8120975,台新國際商業銀行松德分行,02-87895788,莊明倫,2002-08-05,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120975"
新竹市北大路457號,24.801941,120.960226,新竹市北區崇禮里北大路457號,812,台新國際商業銀行,8120986,台新國際商業銀行北大分行,03-5218181,張維傑,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120986"
台北市南港區三重路66號,25.057265,121.614382,台北市南港區三重里三重路66號,812,台新國際商業銀行,8120997,台新國際商業銀行南港分行,02-2655-9988,高百慧,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120997"
新竹市光復路1段271號,24.782114,121.019691,新竹市東區仙水里光復路一段271號,812,台新國際商業銀行,8121008,台新國際商業銀行關東橋分行,03-5779292,陳漢津,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121008"
新竹縣竹北市中正東路331號,24.835307,121.011425,新竹縣竹北市福德里中正東路331號,812,台新國際商業銀行,8121019,台新國際商業銀行竹北分行,03-5518383,耿舒雲,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121019"
新竹市東大路3段543號,24.840594,120.937244,新竹市北區南寮里東大路三段543號,812,台新國際商業銀行,8121020,台新國際商業銀行南寮分行,03-5362611,彭政星,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121020"
桃園縣八德市介壽路一段991號,24.958598,121.299504,桃園市八德區大忠里介壽路一段991號,812,台新國際商業銀行,8121031,台新國際商業銀行八德分行,03-5248866,李培銘,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121031"
彰化縣員林鎮育英路28號,23.9582158,120.5755213,彰化縣員林鎮中正里育英路28號,812,台新國際商業銀行,8121042,台新國際商業銀行員林分行,04-8397899,賴啟祥,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121042"
